"Time","F ext","Out 1","R","Theta"
"99.375","1583.89","1.71875","0.453588","88.7187"
"100.312","1584.93","1.71875","0.453875","88.6768"
"101.25","1584.95","1.71875","0.453882","88.6789"
"102.187","1584.95","1.71875","0.453879","88.6804"
"103.125","1584.92","1.71875","0.45387","88.6813"
"104.062","1656.93","1.79688","0.454331","88.7194"
"105","1657.7","1.79688","0.454609","88.6797"
"105.937","1657.69","1.79688","0.454623","88.6815"
"106.875","1657.68","1.79688","0.454619","88.6829"
"107.812","1657.68","1.79688","0.454616","88.6838"
"108.75","1729.16","1.875","0.455053","88.7179"
"109.687","1730.05","1.875","0.455305","88.6828"
"110.625","1730.04","1.875","0.455323","88.6842"
"111.562","1730.05","1.875","0.455323","88.6857"
"112.5","1730.03","1.875","0.455325","88.6861"
"113.437","1801.73","1.95312","0.45575","88.7174"
"114.375","1802.47","1.95312","0.455983","88.6854"
"115.312","1802.45","1.95312","0.456","88.6869"
"116.25","1802.46","1.95312","0.456003","88.688"
"117.187","1802.45","1.95312","0.456008","88.688"
"118.125","1873.56","2.03125","0.456414","88.7171"
"119.062","1874.74","2.03125","0.45664","88.688"
"120","1874.76","2.03125","0.456652","88.6889"
"120.937","1874.76","2.03125","0.456654","88.6902"
"121.875","1874.78","2.03125","0.456659","88.6908"
"122.812","1946.42","2.10938","0.457059","88.7178"
"123.75","1947.32","2.10938","0.457273","88.6909"
"124.687","1947.34","2.10938","0.457286","88.6919"
"125.625","1947.35","2.10938","0.457291","88.6932"
"126.562","1947.34","2.10938","0.4573","88.6936"
"127.5","2018.06","2.1875","0.457681","88.7191"
"128.437","2019.1","2.1875","0.457879","88.6939"
"129.375","2019.08","2.1875","0.457892","88.6952"
"130.312","2019.1","2.1875","0.457903","88.6958"
"131.25","2019.09","2.1875","0.457907","88.6963"
"132.187","2090.72","2.26562","0.458288","88.7198"
"133.125","2091.77","2.26562","0.458484","88.6966"
"134.062","2091.77","2.26562","0.458497","88.6977"
"135","2091.78","2.26562","0.458504","88.6983"
"135.937","2091.79","2.26562","0.458505","88.6989"
"136.875","2163.18","2.34375","0.458875","88.7212"
"137.812","2164.09","2.34375","0.459069","88.6997"
"138.75","2164.09","2.34375","0.459091","88.7005"
"139.687","2164.09","2.34375","0.4591","88.7015"
"140.625","2164.07","2.34375","0.459101","88.7016"
"141.562","2235.4","2.42188","0.459458","88.7227"
"142.5","2236.59","2.42188","0.459646","88.7028"
"143.437","2236.61","2.42188","0.459656","88.7037"
"144.375","2236.63","2.42188","0.45966","88.7044"
"145.312","2236.64","2.42188","0.459662","88.7048"
"146.25","2307.6","2.5","0.460017","88.7248"
"147.187","2308.94","2.5","0.460193","88.7061"
"148.125","2308.94","2.5","0.46021","88.7068"
"149.062","2308.95","2.5","0.460208","88.7076"
"150","2308.97","2.5","0.460213","88.7077"
"150.937","2380.03","2.57812","0.460562","88.7261"
"151.875","2381.11","2.57812","0.460738","88.709"
"152.812","2381.09","2.57812","0.460755","88.7099"
"153.75","2381.09","2.57812","0.460757","88.7107"
"154.687","2381.08","2.57812","0.460756","88.7107"
"155.625","2452.59","2.65625","0.461098","88.7283"
"156.562","2453.81","2.65625","0.461271","88.7123"
"157.5","2453.8","2.65625","0.46128","88.7131"
"158.437","2453.82","2.65625","0.461282","88.7137"
"159.375","2453.79","2.65625","0.461279","88.7137"
"160.312","2524.7","2.73438","0.461619","88.7305"
"161.25","2526.07","2.73438","0.461789","88.7152"
"162.187","2526.09","2.73438","0.461797","88.7157"
"163.125","2526.09","2.73438","0.461799","88.7163"
"164.062","2526.11","2.73438","0.461803","88.7167"
"165","2597.45","2.8125","0.462138","88.7325"
"165.937","2598.36","2.8125","0.462293","88.7182"
"166.875","2598.37","2.8125","0.462306","88.7188"
"167.812","2598.39","2.8125","0.462316","88.7197"
"168.75","2598.39","2.8125","0.462323","88.7201"
"169.687","2669.36","2.89062","0.462657","88.7345"
"170.625","2670.37","2.89062","0.462812","88.7211"
"171.562","2670.36","2.89062","0.462816","88.7216"
"172.5","2670.35","2.89062","0.462816","88.7222"
"173.437","2670.35","2.89062","0.462818","88.7223"
"174.375","2742.22","2.96875","0.463149","88.7373"
"175.312","2743.11","2.96875","0.46331","88.7241"
"176.25","2743.13","2.96875","0.463327","88.7247"
"177.187","2743.14","2.96875","0.463332","88.7255"
"178.125","2743.15","2.96875","0.463332","88.7258"
"179.062","2813.99","3.04688","0.463649","88.7392"
"180","2815.21","3.04688","0.463808","88.7274"
"180.937","2815.22","3.04688","0.463821","88.728"
"181.875","2815.22","3.04688","0.463828","88.7282"
"182.812","2815.23","3.04688","0.463834","88.7286"
"183.75","2887.16","3.125","0.464174","88.7422"
"184.687","2887.94","3.125","0.464341","88.7309"
"185.625","2887.95","3.125","0.464349","88.7317"
"186.562","2887.96","3.125","0.464352","88.7321"
"187.5","2887.98","3.125","0.464356","88.7321"
"188.437","2959.35","3.20312","0.464678","88.745"
"189.375","2960.11","3.20312","0.46483","88.7344"
"190.312","2960.07","3.20312","0.464838","88.7348"
"191.25","2960.07","3.20312","0.464844","88.7349"
"192.187","2960.05","3.20312","0.464849","88.7352"
"193.125","3031.67","3.28125","0.46516","88.7476"
"194.062","3032.43","3.28125","0.465315","88.7372"
"195","3032.45","3.28125","0.465327","88.7377"
"195.937","3032.44","3.28125","0.465332","88.7382"
"196.875","3032.46","3.28125","0.465332","88.7385"
"197.812","3103.91","3.35938","0.465639","88.7503"
"198.75","3105.13","3.35938","0.465789","88.7404"
"199.687","3105.1","3.35938","0.465803","88.7408"
"200.625","3105.1","3.35938","0.46581","88.7411"
"201.562","3105.1","3.35938","0.465811","88.7411"
"202.5","3177.05","3.4375","0.466119","88.7526"
"203.437","3178.08","3.4375","0.46627","88.7428"
"204.375","3178.1","3.4375","0.466281","88.7433"
"205.312","3178.13","3.4375","0.466285","88.7439"
"206.25","3178.13","3.4375","0.466289","88.7437"
"207.187","3249.65","3.51562","0.4666","88.7547"
"208.125","3250.89","3.51562","0.466754","88.7458"
"209.062","3250.87","3.51562","0.466768","88.7459"
"210","3250.86","3.51562","0.46677","88.7464"
"210.937","3250.85","3.51562","0.466772","88.7465"
"211.875","3322","3.59375","0.467074","88.757"
"212.812","3323.2","3.59375","0.467224","88.7486"
"213.75","3323.2","3.59375","0.467233","88.7486"
"214.687","3323.18","3.59375","0.46724","88.7489"
"215.625","3323.18","3.59375","0.467247","88.7494"
"216.562","3394.66","3.67188","0.467553","88.7593"
"217.5","3395.59","3.67188","0.467698","88.7515"
"218.437","3395.58","3.67188","0.467704","88.7518"
"219.375","3395.52","3.67188","0.46771","88.7519"
"220.312","3395.53","3.67188","0.467708","88.7517"
"221.25","3466.67","3.75","0.468002","88.7616"
"222.187","3467.88","3.75","0.468145","88.7539"
"223.125","3467.87","3.75","0.468158","88.7541"
"224.062","3467.89","3.75","0.468162","88.7544"
"225","3467.94","3.75","0.468168","88.7547"
"225.937","3538.85","3.82812","0.468475","88.7644"
"226.875","3539.88","3.82812","0.468623","88.757"
"227.812","3539.86","3.82812","0.468626","88.7574"
"228.75","3539.87","3.82812","0.468627","88.7576"
"229.687","3539.9","3.82812","0.468629","88.7578"
"230.625","3612.18","3.90625","0.46894","88.767"
"231.562","3613","3.90625","0.469087","88.7602"
"232.5","3613.02","3.90625","0.469101","88.7607"
"233.437","3613.04","3.90625","0.469104","88.7611"
"234.375","3613.06","3.90625","0.469111","88.7609"
"235.312","3683.96","3.98438","0.46941","88.7697"
"236.25","3685.05","3.98438","0.469554","88.7634"
"237.187","3685.08","3.98438","0.469566","88.7639"
"238.125","3685.09","3.98438","0.469569","88.7641"
"239.062","3685.13","3.98438","0.469571","88.7644"
"240","3756.29","4.0625","0.469874","88.7731"
"240.937","3757.33","4.0625","0.470027","88.7668"
"241.875","3757.32","4.0625","0.470041","88.7668"
"242.812","3757.3","4.0625","0.470044","88.7668"
